FoodGroup;ProductGroep;Name;Naam;Code
Cereals and cereal products;Graanproducten en bindmiddelen;Baking mix white gluten free Glutafin;Bakmix wit Ca+ glutenvrij Glutafin;1350
Cereals and cereal products;Graanproducten en bindmiddelen;Barley easy cook raw;Gort vlug- rauw;1024
Cereals and cereal products;Graanproducten en bindmiddelen;Barley malt;Mout gorte-;211
Cereals and cereal products;Graanproducten en bindmiddelen;Barley pearl raw;Gort parel- rauw;212
Cereals and cereal products;Graanproducten en bindmiddelen;Barley whole grain raw;Gerst hele korrel rauw;1890
Cereals and cereal products;Graanproducten en bindmiddelen;Binding agents averaged;Bindmiddel gem;223
Cereals and cereal products;Graanproducten en bindmiddelen;Blancmange powder chocolate;Puddingpoeder chocolade instant;488
Cereals and cereal products;Graanproducten en bindmiddelen;Blancmange powder chocolate wo sugar;Puddingpoeder chocolade z suiker;994
Cereals and cereal products;Graanproducten en bindmiddelen;Blancmange powder wo sugar average;Puddingpoeder z suiker;993
Cereals and cereal products;Graanproducten en bindmiddelen;Br prod Bambix Groei Ontbijt fijne gr;Ontbijtprod Bambix Groei Ontbijt fijne granen;224
Cereals and cereal products;Graanproducten en bindmiddelen;Br prod Bambix Groei Ontbijt licht volk;Ontbijtprod Bambix Groei Ontbijt licht volkoren;1338
Cereals and cereal products;Graanproducten en bindmiddelen;Br prod Bambix Peuter Ontbijt 8 granen;Ontbijtprod Bambix Peuter Ontbijt 8 granen;1991
Cereals and cereal products;Graanproducten en bindmiddelen;Bread crumbs;Paneermeel;1013
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal All-Bran Fruit n Fibre;Ontbijtproduct All-Bran Fruit 'n Fibre Kellogg's;2004
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal All-Bran Plus Kellogg's;Ontbijtproduct All-Bran Plus Kellogg's;591
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Brinta;Ontbijtproduct Brinta;225
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Chocos Kellogg's;Ontbijtproduct Chocos Kellogg's;2683
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Cornflakes;Ontbijtproduct Cornflakes;2081
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Cornflakes Kellogg's;Ontbijtproduct Cornflakes Kellogg's;209
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Honey Loops Kellogg's;Ontbijtproduct Honey Loops Kellogg's;2007
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Rice Krispies Kellogg's;Ontbijtproduct Rice Krispies Kellogg's;653
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast cereal Smacks Kellogg's;Ontbijtproduct Smacks Kellogg's;2006
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast prod All-Bran flakes Kellogg's;Ontbijtproduct All-Bran flakes Kellogg's;2705
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast prod Coco Pops Kellogg's;Ontbijtproduct Choco Pops Kellogg's;2002
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast product 7 cereals energ;yOntbijtprod Molenaar 7-granen-energie ontbijt;1804
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast product Frosties Kellogg's;Ontbijtproduct Frosties Kellogg's;1999
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast product Spec K choc Kellogg's;Ontbijtproduct Special K chocolade Kellogg's;2684
Cereals and cereal products;Graanproducten en bindmiddelen;Breakfast product Special K Original;Ontbijtproduct Special K Original Kellogg's;2005
Cereals and cereal products;Graanproducten en bindmiddelen;Buckwheat groats;Grutten boekweite-;1019
Cereals and cereal products;Graanproducten en bindmiddelen;Bulgur wheat raw;Tarwe gebroken bulgur rauw;1015
Cereals and cereal products;Graanproducten en bindmiddelen;Cornflour;Maizena;215
Cereals and cereal products;Graanproducten en bindmiddelen;Couscous boiled;Couscous gekookt;2158
Cereals and cereal products;Graanproducten en bindmiddelen;Couscous unprepared;Couscous rauw;1889
Cereals and cereal products;Graanproducten en bindmiddelen;Custard powder;Custardpoeder;210
Cereals and cereal products;Graanproducten en bindmiddelen;Drink breakfast Brinta Wake Up;Drinkontbijt Brinta Wake Up;2051
Cereals and cereal products;Graanproducten en bindmiddelen;Flour buckwheat;Meel boekweite-;208
Cereals and cereal products;Graanproducten en bindmiddelen;Flour cassava;Meel cassave-;695
Cereals and cereal products;Graanproducten en bindmiddelen;Flour for pancakes;Meel pannenkoek-;530
Cereals and cereal products;Graanproducten en bindmiddelen;Flour for poffertjes batter mix;Meel poffertjesmix;531
Cereals and cereal products;Graanproducten en bindmiddelen;Flour maize;Meel mais-;696
Cereals and cereal products;Graanproducten en bindmiddelen;Flour rice;Bloem rijste-;80
Cereals and cereal products;Graanproducten en bindmiddelen;Flour rice instant Bambix;Bloem rijste- Bambix;1023
Cereals and cereal products;Graanproducten en bindmiddelen;Flour rice Molenaar;Bloem rijste- Molenaar kindermeel;2082
Cereals and cereal products;Graanproducten en bindmiddelen;Flour rye;Meel rogge-;218
Cereals and cereal products;Graanproducten en bindmiddelen;Flour rye 60% extraction;Bloem rogge- 60% uitmaling;217
Cereals and cereal products;Graanproducten en bindmiddelen;Flour wheat 50% extraction;Meel tarwe-;222
Cereals and cereal products;Graanproducten en bindmiddelen;Flour wheat self-raising;Meel bak- zelfrijzend;1020
Cereals and cereal products;Graanproducten en bindmiddelen;Flour wheat white 75% extraction;Bloem tarwe- patent;220
Cereals and cereal products;Graanproducten en bindmiddelen;Gelatin;Gelatine;439
Cereals and cereal products;Graanproducten en bindmiddelen;Millet boiled;Gierst gekookt;2159
Cereals and cereal products;Graanproducten en bindmiddelen;Millet raw;Gierst rauw;847
Cereals and cereal products;Graanproducten en bindmiddelen;Muesli Country Store Kellogg's;Muesli Country Store Kellogg's;2008
Cereals and cereal products;Graanproducten en bindmiddelen;Muesli crunchy plain/w fruit;Muesli krokante naturel/m fruit;2366
Cereals and cereal products;Graanproducten en bindmiddelen;Muesli crunchy w chocolate;Muesli krokante m chocolade;2676
Cereals and cereal products;Graanproducten en bindmiddelen;Muesli crunchy w nuts;Muesli krokante m noten;2675
Cereals and cereal products;Graanproducten en bindmiddelen;Muesli w fruit;Muesli vruchten-;2809
Cereals and cereal products;Graanproducten en bindmiddelen;Oatmeal;Mout haver-;213
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta glutenfree raw;Pasta glutenvrij rauw;2271
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta plain average boiled;Pasta witte gem gekookt;659
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta white fresh boiled;Pasta witte vers gekookt;2781
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta white raw;Pasta witte rauw;4
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta white w egg boiled;Pasta witte m ei gekookt;2780
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta white wo egg boiled;Pasta witte z ei gekookt;2779
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta wholemeal boiled;Pasta volkoren gekookt;2157
Cereals and cereal products;Graanproducten en bindmiddelen;Pasta wholemeal raw;Pasta volkoren rauw;811
Cereals and cereal products;Graanproducten en bindmiddelen;Popcorn kernels;Mais pof- gedroogd;214
Cereals and cereal products;Graanproducten en bindmiddelen;Pudding instant powder Bourbon;Puddingpoeder instant Bourbon;746
Cereals and cereal products;Graanproducten en bindmiddelen;Pudding instant powder with sugar;Puddingpoeder;216
Cereals and cereal products;Graanproducten en bindmiddelen;Pudding instant various flavours powder;Puddingpoeder overige smaken instant;622
Cereals and cereal products;Graanproducten en bindmiddelen;Rice brown boiled;Rijst zilvervlies- gekookt;1014
Cereals and cereal products;Graanproducten en bindmiddelen;Rice brown raw;Rijst zilvervlies- rauw;712
Cereals and cereal products;Graanproducten en bindmiddelen;Rice multi-grain boiled;Rijst meergranen- gekookt;2682
Cereals and cereal products;Graanproducten en bindmiddelen;Rice multi-grain raw;Rijst meergranen- rauw;2049
Cereals and cereal products;Graanproducten en bindmiddelen;Rice white boiled;Rijst witte gekookt;658
Cereals and cereal products;Graanproducten en bindmiddelen;Rice white parboiled boiled;Rijst parboiled gekookt;955
Cereals and cereal products;Graanproducten en bindmiddelen;Rice white raw;Rijst witte rauw;5
Cereals and cereal products;Graanproducten en bindmiddelen;Rye flakes rolled;Vlokken rogge- geplet;1018
Cereals and cereal products;Graanproducten en bindmiddelen;Seitan;Seitan;1458
Cereals and cereal products;Graanproducten en bindmiddelen;Semolina;Meel gries-;78
Cereals and cereal products;Graanproducten en bindmiddelen;Semolina powder without sugar;Puddingpoeder griesmeel z suiker;992
Cereals and cereal products;Graanproducten en bindmiddelen;Starch potato;Meel aardappel-;226
Cereals and cereal products;Graanproducten en bindmiddelen;Tapioca;Tapioca;219
Cereals and cereal products;Graanproducten en bindmiddelen;Vermicelli raw;Vermicelli rauw;82
Cereals and cereal products;Graanproducten en bindmiddelen;Wheat bran;Zemelen tarwe-;590
Cereals and cereal products;Graanproducten en bindmiddelen;Wheat germ;Kiemen tarwe-;231
Cereals and cereal products;Graanproducten en bindmiddelen;Wrap/Tortilla;Wrap/Tortilla;2359
Vegetables;Groenten;Antroewa raw;Antroewa rauw;674
Vegetables;Groenten;Artichoke raw;Artisjok rauw;1021
Vegetables;Groenten;Asparagus boiled;Asperges gekookt;957
Vegetables;Groenten;Asparagus raw;Asperges rauw;9
Vegetables;Groenten;Asparagus tinned;Asperges blik/glas;130
Vegetables;Groenten;Aubergine boiled;Aubergine gekookt;11
Vegetables;Groenten;Aubergine raw;Aubergine rauw;10
Vegetables;Groenten;Bamboo shoots tinned;Bamboespruiten blik/glas;1187
Vegetables;Groenten;Bami vegetables mixed boiled;Bamipakket gekookt;2331
Vegetables;Groenten;Bean sprouts boiled;Tauge gekookt;59
Vegetables;Groenten;Bean sprouts raw;Tauge rauw;58
Vegetables;Groenten;Beans broad boiled;Bonen tuin- gekookt;962
Vegetables;Groenten;Beans broad frozen unprepared;Bonen tuin- diepvries onbereid;1148
Vegetables;Groenten;Beans broad raw;Bonen tuin- rauw;62
Vegetables;Groenten;Beans broad tinned;Bonen tuin- blik/glas;142
Vegetables;Groenten;Beans French boiled;Bonen sperzie- gekookt;951
Vegetables;Groenten;Beans French frozen boiled;Bonen sperzie- diepvries gekookt;954
Vegetables;Groenten;Beans French raw;Bonen sperzie- rauw;50
Vegetables;Groenten;Beans French tinned;Bonen sperzie- blik/glas;139
Vegetables;Groenten;Beans hyacinth koeliboontje;Koeliboontje rauw;678
Vegetables;Groenten;Beans long yard Kouseband boiled;Kousenband gekookt;1811
Vegetables;Groenten;Beans long yard kouseband raw;Kousenband rauw;679
Vegetables;Groenten;Beans runner;Bonen snij- rauw;49
Vegetables;Groenten;Beans runner boiled;Bonen snij- gekookt;961
Vegetables;Groenten;Beans runner frozen unprepared;Bonen snij- diepvries onbereid;1143
Vegetables;Groenten;Beans runner tinned;Bonen snij- blik/glas;138
Vegetables;Groenten;Beetroot boiled;Bieten gekookt;958
Vegetables;Groenten;Beetroot low sodium tinned;Bieten Na- blik/glas;1118
Vegetables;Groenten;Beetroot pickled glass;Bieten rode zoetzuur glas;1454
Vegetables;Groenten;Beetroot raw;Bieten rauw;12
Vegetables;Groenten;Black nightshade raw;Agoemawiwiri rauw;672
Vegetables;Groenten;Bottlegourd poeng;Poeng rauw;681
Vegetables;Groenten;Broccoli boiled;Broccoli gekookt;920
Vegetables;Groenten;Broccoli raw;Broccoli rauw;921
Vegetables;Groenten;Brussel sprouts boiled;Spruitjes gekookt;55
Vegetables;Groenten;Brussel sprouts frozen boiled;Spruitjes diepvries gekookt;1147
Vegetables;Groenten;Brussel sprouts raw;Spruitjes rauw;564
Vegetables;Groenten;Cabbage Chinese boiled;Kool Chinese gekookt;22
Vegetables;Groenten;Cabbage Chinese raw;Kool Chinese rauw;21
Vegetables;Groenten;Cabbage green boiled;Kool groene gekookt;25
Vegetables;Groenten;Cabbage green raw;Kool groene rauw;24
Vegetables;Groenten;Cabbage oxheart boiled;Kool spits- gekookt;54
Vegetables;Groenten;Cabbage oxheart raw;Kool spits- rauw;53
Vegetables;Groenten;Cabbage pak-choi raw;Paksoi rauw;1892
Vegetables;Groenten;Cabbage red boiled;Kool rode gekookt;42
Vegetables;Groenten;Cabbage red glass;Kool rode blik/glas;145
Vegetables;Groenten;Cabbage red raw;Kool rode rauw;41
Vegetables;Groenten;Cabbage red w apple pieces frozen boiled;Kool rode m appeltjes diepvries gekookt;650
Vegetables;Groenten;Cabbage sauerkraut cooked;Kool zuur- gekookt;74
Vegetables;Groenten;Cabbage sauerkraut low sodium tinned;Kool zuur- Na- blik/glas;1154
Vegetables;Groenten;Cabbage sauerkraut raw;Kool zuur- rauw;73
Vegetables;Groenten;Cabbage Savoy boiled;Kool savooie- gekookt;44
Vegetables;Groenten;Cabbage Savoy raw;Kool savooie- rauw;43
Vegetables;Groenten;Cabbage white cooked;Kool witte gekookt;70
Vegetables;Groenten;Cabbage white raw;Kool witte rauw;69
Vegetables;Groenten;Capers;Kappertjes;2402
Vegetables;Groenten;Carrot bunched boiled;Wortelen bospeen gekookt;2727
Vegetables;Groenten;Carrot bunched raw;Wortelen bospeen rauw;2726
Vegetables;Groenten;Carrot winter boiled;Wortelen winterpeen gekookt;2729
Vegetables;Groenten;Carrot winter raw;Wortelen winterpeen rauw;2728
Vegetables;Groenten;Carrots boiled average;Wortelen gekookt gem;72
Vegetables;Groenten;Carrots raw average;Wortelen rauw gem;71
Vegetables;Groenten;Carrots tinned;Wortelen blik/glas;143
Vegetables;Groenten;Cauliflower boiled;Kool bloem- gekookt;15
Vegetables;Groenten;Cauliflower raw;Kool bloem- rauw;14
Vegetables;Groenten;Celeriac boiled;Selderij knol- gekookt;26
Vegetables;Groenten;Celeriac raw;Selderij knol- rauw;558
Vegetables;Groenten;Celery boiled;Selderij bleek- gekookt;13
Vegetables;Groenten;Celery raw;Selderij bleek- rauw;557
Vegetables;Groenten;Chicory boiled;Witlof gekookt;68
Vegetables;Groenten;Chicory raw;Witlof rauw;67
Vegetables;Groenten;Chili pepper raw;Peper Spaanse rauw;2524
Vegetables;Groenten;Courgettes boiled;Courgette gekookt;966
Vegetables;Groenten;Courgettes raw;Courgette rauw;922
Vegetables;Groenten;Cress garden raw;Sterkers rauw;126
Vegetables;Groenten;Cucumber boiled;Komkommer gekookt;28
Vegetables;Groenten;Cucumber sliced pickled;Komkommerschijven zoetzuur glas;1161
Vegetables;Groenten;Cucumber w skin raw;Komkommer m schil rauw;2739
Vegetables;Groenten;Cucumber wo skin raw;Komkommer z schil rauw;27
Vegetables;Groenten;Dagoe leaf raw;Dagoeblad rauw;675
Vegetables;Groenten;Dandelion leaves raw;Sla mol- rauw;1087
Vegetables;Groenten;Endive boiled;Andijvie gekookt;8
Vegetables;Groenten;Endive frozen unprepared;Andijvie diepvries onbereid;1136
Vegetables;Groenten;Endive raw;Andijvie rauw;7
Vegetables;Groenten;Endive tinned;Andijvie blik/glas;129
Vegetables;Groenten;Fennel boiled;Venkel gekookt;967
Vegetables;Groenten;Fennel raw;Venkel rauw;849
Vegetables;Groenten;Gherkins low sodium;Augurken Na-;1153
Vegetables;Groenten;Gherkins pickled without sugar;Augurken zoetzuur z suiker;1160
Vegetables;Groenten;Gherkins sour pickled;Augurken zuur;131
Vegetables;Groenten;Gherkins sweet pickled;Augurken zoetzuur;132
Vegetables;Groenten;Gherkins sweet pickled low sodium;Augurken zoetzuur Na-;1157
Vegetables;Groenten;Gourd bitter sopropo raw;Sopropo rauw;683
Vegetables;Groenten;Grape leaves glass;Druivenblad glas;1370
Vegetables;Groenten;Infant food vegetables 4 months;Babyvoeding groente 4 mnd;1281
Vegetables;Groenten;Kaisoi raw;Kaisoi rauw;676
Vegetables;Groenten;Kale curly boiled;Kool boeren- gekookt;16
Vegetables;Groenten;Kale curly boiled glass;Kool boeren- glas;1398
Vegetables;Groenten;Kale curly frozen boiled;Kool boeren- diepvries gekookt;952
Vegetables;Groenten;Kale curly raw;Kool boeren- rauw;959
Vegetables;Groenten;Klaroen raw;Klaroen rauw;677
Vegetables;Groenten;Kohlrabi boiled;Koolrabi gekookt;30
Vegetables;Groenten;Kohlrabi raw;Koolrabi rauw;560
Vegetables;Groenten;Leek boiled;Prei gekookt;37
Vegetables;Groenten;Leek raw;Prei rauw;562
Vegetables;Groenten;Lettuce green average raw;Sla groene gem rauw;2346
Vegetables;Groenten;Lettuce head boiled;Sla gekookt;47
Vegetables;Groenten;Lettuce head raw;Sla krop- rauw;46
Vegetables;Groenten;Lettuce iceberg raw;Sla ijsberg- rauw;1399
Vegetables;Groenten;Lettuce lambs boiled;Sla veld- gekookt;66
Vegetables;Groenten;Lettuce lambs raw;Sla veld- rauw;65
Vegetables;Groenten;Lettuce red raw;Sla rode rauw;2708
Vegetables;Groenten;Mange-tout boiled;Peultjes gekookt;964
Vegetables;Groenten;Mushrooms boiled;Champignons gekookt;20
Vegetables;Groenten;Mushrooms chanterelle boiled;Cantharellen gekookt;18
Vegetables;Groenten;Mushrooms chanterelle raw;Cantharellen rauw;17
Vegetables;Groenten;Mushrooms fried in margarine with salt;Champignons gebakken m zout;1394
Vegetables;Groenten;Mushrooms low sodium tinned;Champignons Na- blik/glas;1133
Vegetables;Groenten;Mushrooms raw;Champignons rauw;19
Vegetables;Groenten;Mushrooms tinned;Champignons blik/glas;133
Vegetables;Groenten;Mustard leaf raw;Amsoi rauw;673
Vegetables;Groenten;Okra raw;Okra rauw;680
Vegetables;Groenten;Onion Welsh boiled;Ui sla- gekookt;2738
Vegetables;Groenten;Onion Welsh raw;Ui sla- rauw;2737
Vegetables;Groenten;Onions boiled;Ui gekookt;64
Vegetables;Groenten;Onions deep-fried sachet;Uitjes gefrituurd zak;1484
Vegetables;Groenten;Onions fried in margarine;Ui gebakken;1393
Vegetables;Groenten;Onions raw;Ui rauw;63
Vegetables;Groenten;Onions silver-skin sweet pickled low Na;Uien zilver- zoetzuur Na- glas;1158
Vegetables;Groenten;Onions silverskin sweet pickled wo sugar;Uien zilver- zoetzuur z suiker glas;1159
Vegetables;Groenten;Pea garden extra fine low sodium tinned;Doperwten extra fijn Na- blik/glas;1119
Vegetables;Groenten;Pea garden super fine low sodium tinned;Doperwten zeer fijn Na- blik/glas;1115
Vegetables;Groenten;Pea garden super fine tinned;Doperwten zeer fijn blik/glas;135
Vegetables;Groenten;Peas and carrots frozen unprepared;Doperwten m wortelen diepvries onbereid;1139
Vegetables;Groenten;Peas and carrots tinned;Doperwten m wortelen blik/glas;136
Vegetables;Groenten;Peas fresh boiled;Doperwten gekookt;963
Vegetables;Groenten;Peas frozen boiled;Doperwten diepvries gekookt;953
Vegetables;Groenten;Peas garden medium fine tinned;Doperwten middelfijn blik/glas;134
Vegetables;Groenten;Peas mange-tout raw;Peultjes rauw;35
Vegetables;Groenten;Peas raw;Doperwten rauw;23
Vegetables;Groenten;Pumpkin boiled;Pompoen gekookt;2113
Vegetables;Groenten;Pumpkin raw;Pompoen rauw;682
Vegetables;Groenten;Purslane boiled;Postelein gekookt;36
Vegetables;Groenten;Purslane raw;Postelein rauw;561
Vegetables;Groenten;Radish black raw;Rammenas rauw;125
Vegetables;Groenten;Radish red/white raw;Radijs rauw;124
Vegetables;Groenten;Rhubarb puree w sugar;Rabarbermoes m suiker;538
Vegetables;Groenten;Rhubarb raw;Rabarber rauw;40
Vegetables;Groenten;Rocket raw;Sla rucola rauw;2736
Vegetables;Groenten;Salsify boiled;Schorseneren gekookt;960
Vegetables;Groenten;Salsify raw;Schorseneren rauw;45
Vegetables;Groenten;Silver-skin onions sweet pickled glass;Uien zilver- zoetzuur glas;144
Vegetables;Groenten;Spinach boiled;Spinazie gekookt;52
Vegetables;Groenten;Spinach creamed frozen boiled;Spinazie a la creme diepvries gekookt;651
Vegetables;Groenten;Spinach cut frozen unprepared;Spinazie gesneden diepvries onbereid;1146
Vegetables;Groenten;Spinach frozen boiled;Spinazie diepvries gekookt;146
Vegetables;Groenten;Spinach raw;Spinazie rauw;51
Vegetables;Groenten;Spinach tinned;Spinazie blik/glas;140
Vegetables;Groenten;Swede boiled;Koolraap gekookt;29
Vegetables;Groenten;Swede raw;Koolraap rauw;559
Vegetables;Groenten;Sweet pepper average boiled;Paprika gekookt gem;2743
Vegetables;Groenten;Sweet pepper average raw;Paprika rauw gem;2742
Vegetables;Groenten;Sweet pepper green boiled;Paprika groene gekookt;32
Vegetables;Groenten;Sweet pepper green raw;Paprika groene rauw;31
Vegetables;Groenten;Sweet pepper red boiled;Paprika rode gekookt;885
Vegetables;Groenten;Sweet pepper red raw;Paprika rode rauw;884
Vegetables;Groenten;Sweet pepper sweet/sour pickled;Paprika zoetzuur glas;851
Vegetables;Groenten;Sweet pepper yellow boiled;Paprika gele gekookt;2741
Vegetables;Groenten;Sweet pepper yellow raw;Paprika gele rauw;2740
Vegetables;Groenten;Sweetcorn boiled;Mais suiker- gekookt;57
Vegetables;Groenten;Swiss chard leaf boiled;Snijbiet gekookt;48
Vegetables;Groenten;Swiss chard leaf raw;Snijbiet rauw;563
Vegetables;Groenten;Tannia leaves prepared wo fat;Tajerblad bereid z vet;2316
Vegetables;Groenten;Tannia leaves raw;Tajerblad rauw;684
Vegetables;Groenten;Tomato average boiled;Tomaat gekookt gem;2735
Vegetables;Groenten;Tomato average raw;Tomaat rauw gem;2734
Vegetables;Groenten;Tomato beef boiled;Tomaat vlees- gekookt;2733
Vegetables;Groenten;Tomato beef raw;Tomaat vlees- rauw;2732
Vegetables;Groenten;Tomato cherry raw;Tomaat kers- rauw;2731
Vegetables;Groenten;Tomato puree concentrated tinned;Puree tomaten- geconcentreerd blik;141
Vegetables;Groenten;Tomato sun-dried;Tomaat zongedroogd;2378
Vegetables;Groenten;Tomato vine raw;Tomaat tros- rauw;2730
Vegetables;Groenten;Tomatoes dried in oil tin/glass;Tomaat gedroogd in olie blik/pot;2377
Vegetables;Groenten;Tomatoes normal boiled;Tomaat gewoon gekookt;61
Vegetables;Groenten;Tomatoes normal raw;Tomaat gewoon rauw;60
Vegetables;Groenten;Tomatoes sieved;Tomaten gezeefd pak;2498
Vegetables;Groenten;Tomatoes stewed;Tomaat gestoofd;1397
Vegetables;Groenten;Tomatoes tinned;Tomaat in blik;2293
Vegetables;Groenten;Turnip tops boiled;Raapstelen gekookt;39
Vegetables;Groenten;Turnip tops raw;Raapstelen rauw;38
Vegetables;Groenten;Vegetable mix for pea soup frozen unprep;Groente erwtensoep- diepvries onbereid;1140
Vegetables;Groenten;Vegetable mix for soup raw;Groente soep- rauw;75
Vegetables;Groenten;Vegetable mix puszta frozen unprepared;Groentemix poesta diepvries onbereid;1142
Vegetables;Groenten;Vegetable mixed Mexico frozen unprepared;Groentemix Mexico diepvries onbereid;1141
Vegetables;Groenten;Vegetables average boiled;Groenten gekookt gem;1904
Vegetables;Groenten;Vegetables average raw;Groenten rauw gem;1905
Vegetables;Groenten;Vegetables mixed pickled Atjar tjampoer;Groente zoetzuur atjar tjampoer glas;850
Vegetables;Groenten;Vegetables mixture for soup frozen;Groente soep- diepvries onbereid;1144
Vegetables;Groenten;Vegetables mixture raw;Rauwkost gem;127
Vegetables;Groenten;Vegetables pickled Turkish Tursu;Tafelzuur tursu Turks;1371
Savoury bread spreads;Hartig broodbeleg;Peanut butter;Pindakaas;455
Savoury bread spreads;Hartig broodbeleg;Peanut butter light;Pindakaas light;2367
Savoury bread spreads;Hartig broodbeleg;Peanut butter with nut pieces;Pindakaas m stukjes noot;541
Savoury bread spreads;Hartig broodbeleg;Sandwich spread cucumber;Spread sandwich- komkommer;574
Savoury bread spreads;Hartig broodbeleg;Sandwich spread original;Spread sandwich- naturel;575
Savoury bread spreads;Hartig broodbeleg;Sesame paste tahin;Pasta sesam- tahin;1461
Cheese;Kaas;Cheese 10+;Kaas 10+;2264
Cheese;Kaas;Cheese 20+;Kaas 20+;1723
Cheese;Kaas;Cheese 20+ Leidse w cumin/Fries clove;Kaas 20+ Leidse/Friese nagel-;514
Cheese;Kaas;Cheese 20+ rindless;Kaas 20+ korstloze;1727
Cheese;Kaas;Cheese 20+ sodium reduced;Kaas 20+ Na-;927
Cheese;Kaas;Cheese 30+;Kaas 30+;1382
Cheese;Kaas;Cheese 30+ low salt;Kaas 30+ minder zout;2824
Cheese;Kaas;Cheese 40+ Leiden w cumin/Fries clove;Kaas 40+ Leidse/Friese nagel-;1726
Cheese;Kaas;Cheese 40+ sodium reduced;Kaas 40+ Na-;928
Cheese;Kaas;Cheese 45+;Kaas 45+;1809
Cheese;Kaas;Cheese 48+ low salt;Kaas 48+ minder zout;881
Cheese;Kaas;Cheese 50+;Kaas 50+;1724
Cheese;Kaas;Cheese Amsterdam 48+;Kaas Amsterdammer 48+;883
Cheese;Kaas;Cheese Bel Paese;Kaas Bel Paese;1893
Cheese;Kaas;Cheese Bluefort;Kaas Bluefort;726
Cheese;Kaas;Cheese Brie 50+;Kaas Brie 50+;593
Cheese;Kaas;Cheese Brie 60+;Kaas Brie 60+;1487
Cheese;Kaas;Cheese Camembert 30+;Kaas Camembert 30+;1111
Cheese;Kaas;Cheese Camembert 45+;Kaas Camembert 45+;556
Cheese;Kaas;Cheese Cheddar;Kaas Cheddar;725
Cheese;Kaas;Cheese cottage;Kaas huttenkase;654
Cheese;Kaas;Cheese cream 60+;Kaas room- 60+;715
Cheese;Kaas;Cheese cream soft Boursin;Kaas room- zachte Boursin;728
Cheese;Kaas;Cheese cream soft Mon Chou;Kaas room- zachte Mon Chou;719
Cheese;Kaas;Cheese cream soft Paturain;Kaas room- zachte Paturain;1302
Cheese;Kaas;Cheese Edam 40+;Kaas Edammer 40+;511
Cheese;Kaas;Cheese Emmenthaler;Kaas Emmentaler;724
Cheese;Kaas;Cheese fresh light 8% fat;Kaas verse light 8% vet;1489
Cheese;Kaas;Cheese goat fresh;Kaas geiten- verse;1650
Cheese;Kaas;Cheese goat hard;Kaas geiten- hard;2518
Cheese;Kaas;Cheese Gorgonzola;Kaas Gorgonzola;1939
Cheese;Kaas;Cheese Gouda 48+ age 10-12 mths;Kaas Goudse 48+ oud;2759
Cheese;Kaas;Cheese Gouda 48+ age 4-7 mths;Kaas Goudse 48+ belegen;2758
Cheese;Kaas;Cheese Gouda 48+ age 4-8 weeks;Kaas Goudse 48+ jong;2756
Cheese;Kaas;Cheese Gouda 48+ age 8 wk-4 mths;Kaas Goudse 48+ jong belegen;2757
Cheese;Kaas;Cheese Gouda 48+ average;Kaas Goudse 48+ gem;513
Cheese;Kaas;Cheese Gruyere;Kaas Gruyere;722
Cheese;Kaas;Cheese Kernhem 60+;Kaas Kernhemmer 60+;882
Cheese;Kaas;Cheese Leerdammer/Maasdammer 45+;Kaas Leerdammer/Maasdammer 45+;1725
Cheese;Kaas;Cheese Limburger;Kaas Limburgse;721
Cheese;Kaas;Cheese Mozzarella;Kaas Mozzarella;1955
Cheese;Kaas;Cheese Parmesan;Kaas Parmezaanse;718
Cheese;Kaas;Cheese processed rindless 40+;Kaas 40+ korstloze;512
Cheese;Kaas;Cheese product w veg fat 45+;Kaasproduct m plantaardige vetten 45+;2920
Cheese;Kaas;Cheese Rambol;Kaas Rambol;1108
Cheese;Kaas;Cheese raw milk 48+;Kaas rauwmelkse 48+;1112
Cheese;Kaas;Cheese Roquefort;Kaas Roquefort;714
Cheese;Kaas;Cheese Saint Paulin/Port Salut;Kaas Saint Paulin/Port Salut;716
Cheese;Kaas;Cheese sheep fresh;Kaas schapen- vers;804
Cheese;Kaas;Cheese smoked;Kaas rook-;1104
Cheese;Kaas;Cheese sodium reduced 48+;Kaas 48+ Na-;1113
Cheese;Kaas;Cheese spread 20+;Kaas smeer- 20+;517
